Timestamp,1. open,2. high,3. low,4. close,5. volume,Stock Symbol
2023-11-24 17:00:00,155.1800,155.1800,155.1800,155.1800,335049,IBM
2023-11-24 16:55:00,155.1100,155.1800,155.1100,155.1800,40,IBM
2023-11-24 16:50:00,155.1000,155.1000,155.1000,155.1000,1,IBM
2023-11-24 16:40:00,155.0500,155.0500,155.0500,155.0500,40,IBM
2023-11-24 16:35:00,155.1500,155.1500,155.1500,155.1500,100,IBM
2023-11-24 16:25:00,155.1200,155.1200,155.0500,155.0500,134,IBM
2023-11-24 15:50:00,155.1200,155.1200,155.1200,155.1200,23,IBM
2023-11-24 15:45:00,155.1200,155.1200,155.1200,155.1200,8,IBM
2023-11-24 15:30:00,155.1800,155.1800,155.1800,155.1800,335049,IBM
2023-11-24 15:25:00,155.1700,155.1900,155.1700,155.1900,168,IBM
2023-11-24 15:20:00,155.0500,155.0500,155.0500,155.0500,4,IBM
2023-11-24 15:15:00,155.0100,155.0100,155.0100,155.0100,4,IBM
2023-11-24 15:10:00,155.0100,155.0100,155.0100,155.0100,1,IBM
2023-11-24 15:05:00,155.0500,155.0500,155.0500,155.0500,4,IBM
2023-11-24 15:00:00,155.1700,155.1800,155.1700,155.1800,230,IBM
2023-11-24 14:45:00,155.0500,155.0500,155.0100,155.0100,5,IBM
2023-11-24 14:40:00,155.1800,155.1800,155.1800,155.1800,6,IBM
2023-11-24 14:30:00,155.2200,155.2600,155.2200,155.2600,70,IBM
2023-11-24 14:25:00,155.1800,155.1800,155.1800,155.1800,1,IBM
2023-11-24 14:15:00,155.1800,155.1800,155.1800,155.1800,2,IBM
2023-11-24 14:10:00,155.1800,155.1800,155.1800,155.1800,202,IBM
2023-11-24 14:05:00,155.1800,155.2600,155.1800,155.2600,501,IBM
2023-11-24 14:00:00,155.1800,155.1800,155.1800,155.1800,1,IBM
2023-11-24 13:55:00,155.1500,155.1500,155.1500,155.1500,200,IBM
2023-11-24 13:50:00,155.1800,155.1800,155.1800,155.1800,1200,IBM
2023-11-24 13:45:00,155.1800,155.1800,155.1500,155.1800,802,IBM
2023-11-24 13:40:00,155.1800,155.1800,155.0000,155.0900,790,IBM
2023-11-24 13:35:00,155.0700,155.2550,155.0700,155.1800,2211,IBM
2023-11-24 13:20:00,155.1800,155.1800,155.0700,155.0700,2052,IBM
2023-11-24 13:15:00,155.1800,155.1800,154.9900,154.9900,8,IBM
2023-11-24 13:10:00,155.1800,155.1800,154.9700,155.0500,335168,IBM
2023-11-24 13:05:00,155.1800,155.1800,155.1800,155.1800,714,IBM
2023-11-24 13:00:00,155.1500,155.1800,155.1300,155.1800,714725,IBM
2023-11-24 12:55:00,154.8800,155.1600,154.8700,155.1500,217922,IBM
2023-11-24 12:50:00,154.6300,154.8800,154.6200,154.8700,86322,IBM
2023-11-24 12:45:00,154.5900,154.6500,154.5400,154.6250,78025,IBM
2023-11-24 12:40:00,154.4450,154.7000,154.4300,154.5800,78592,IBM
2023-11-24 12:35:00,154.4800,154.4800,154.3900,154.4200,35711,IBM
